Player,Team,TotalPlays,Total3ptShots,Total3ptMakes,3pt%,Total2ptShots,Total2ptMakes,2pt%,TotalMidRangeShots,TotalMidRangeMakes,MidRange%,EFG%
Chase Dickens,Rochester Institute of Technology Tigers,4,0,0,,4,3,75.0,0,0,,75.0
Brock Bowen,Rochester Institute of Technology Tigers,3,0,0,,3,2,66.6667,0,0,,66.66667
Josiah Turner,Rochester Institute of Technology Tigers,3,0,0,,3,2,66.6667,0,0,,66.66667
Matt Caggiano,Rochester Institute of Technology Tigers,3,0,0,,2,2,100.0,0,0,,100.0
Niko Lutz,Hobart College Statesmen,2,0,0,,2,2,100.0,0,0,,100.0
Gavin Macaulay,St. Lawrence Saints,2,0,0,,1,0,0.0,0,0,,0.0
Keegan Ocorr,Rochester Institute of Technology Tigers,2,0,0,,2,2,100.0,0,0,,100.0
Joey Skoric,Skidmore Thoroughbreds,2,0,0,,2,1,50.0,0,0,,50.0
Kenny Wilburn,Rochester Institute of Technology Tigers,2,0,0,,2,2,100.0,0,0,,100.0
Evan Cabral,Ithaca College,1,0,0,,1,0,0.0,0,0,,0.0
Ian Bentley,Skidmore Thoroughbreds,1,0,0,,0,0,,0,0,,
Paris Jamison,Alfred State Pioneers,1,0,0,,1,1,100.0,0,0,,100.0
Heston Tucker,Bard College,1,0,0,,1,1,100.0,0,0,,100.0
Marc Anthony Artuz,Elmira,1,0,0,,1,1,100.0,0,0,,100.0
Andrew Geschickter,Ithaca College,1,0,0,,1,1,100.0,0,0,,100.0
Andrew Deppe,Rensselaer Polytechnic,1,0,0,,1,1,100.0,0,0,,100.0
Zac Ditzel,Rochester Institute of Technology Tigers,1,0,0,,0,0,,0,0,,
Jonny Angbazo,Rensselaer Polytechnic,1,0,0,,1,0,0.0,0,0,,0.0
Jack LaGarde,Skidmore Thoroughbreds,1,0,0,,1,0,0.0,0,0,,0.0
Mark Osime,Rochester Institute of Technology Tigers,1,0,0,,1,1,100.0,0,0,,100.0
Tomiwa Adetosoye,Rochester (NY) Yellowjackets,1,0,0,,1,1,100.0,0,0,,100.0
